FullDateAlternateKey	Day	Month	MonthShort	MonthNo	Quarter	Year
20190424	Wednesday	April	Apr	4	2	2019
20190425	Thursday	April	Apr	4	2	2019
20190426	Friday	April	Apr	4	2	2019
20190427	Saturday	April	Apr	4	2	2019
20190428	Sunday	April	Apr	4	2	2019
20190429	Monday	April	Apr	4	2	2019
20190430	Tuesday	April	Apr	4	2	2019
20190501	Wednesday	May	May	5	2	2019
20190502	Thursday	May	May	5	2	2019
20190503	Friday	May	May	5	2	2019
20190504	Saturday	May	May	5	2	2019
20190505	Sunday	May	May	5	2	2019
20190506	Monday	May	May	5	2	2019
20190507	Tuesday	May	May	5	2	2019
20190508	Wednesday	May	May	5	2	2019
20190509	Thursday	May	May	5	2	2019
20190510	Friday	May	May	5	2	2019
20190511	Saturday	May	May	5	2	2019
20190512	Sunday	May	May	5	2	2019
20190513	Monday	May	May	5	2	2019
20190514	Tuesday	May	May	5	2	2019
20190515	Wednesday	May	May	5	2	2019
20190516	Thursday	May	May	5	2	2019
20190517	Friday	May	May	5	2	2019
20190518	Saturday	May	May	5	2	2019
20190519	Sunday	May	May	5	2	2019
20190520	Monday	May	May	5	2	2019
20190521	Tuesday	May	May	5	2	2019
20190522	Wednesday	May	May	5	2	2019
20190523	Thursday	May	May	5	2	2019
20190524	Friday	May	May	5	2	2019
20190525	Saturday	May	May	5	2	2019
20190526	Sunday	May	May	5	2	2019
20190527	Monday	May	May	5	2	2019
20190528	Tuesday	May	May	5	2	2019
20190529	Wednesday	May	May	5	2	2019
20190530	Thursday	May	May	5	2	2019
20190531	Friday	May	May	5	2	2019
20190601	Saturday	June	Jun	6	2	2019
20190602	Sunday	June	Jun	6	2	2019
20190603	Monday	June	Jun	6	2	2019
20190604	Tuesday	June	Jun	6	2	2019
20190605	Wednesday	June	Jun	6	2	2019
20190606	Thursday	June	Jun	6	2	2019
20190607	Friday	June	Jun	6	2	2019
20190608	Saturday	June	Jun	6	2	2019
20190609	Sunday	June	Jun	6	2	2019
20190610	Monday	June	Jun	6	2	2019
20190611	Tuesday	June	Jun	6	2	2019
20190612	Wednesday	June	Jun	6	2	2019
20190613	Thursday	June	Jun	6	2	2019
20190614	Friday	June	Jun	6	2	2019
20190615	Saturday	June	Jun	6	2	2019
20190616	Sunday	June	Jun	6	2	2019
20190617	Monday	June	Jun	6	2	2019
20190618	Tuesday	June	Jun	6	2	2019
20190619	Wednesday	June	Jun	6	2	2019
20190620	Thursday	June	Jun	6	2	2019
20190621	Friday	June	Jun	6	2	2019
20190622	Saturday	June	Jun	6	2	2019
20190623	Sunday	June	Jun	6	2	2019
20190624	Monday	June	Jun	6	2	2019
20190625	Tuesday	June	Jun	6	2	2019
20190626	Wednesday	June	Jun	6	2	2019
20190627	Thursday	June	Jun	6	2	2019
20190628	Friday	June	Jun	6	2	2019
20190629	Saturday	June	Jun	6	2	2019
20190630	Sunday	June	Jun	6	2	2019
20190701	Monday	July	Jul	7	3	2019
20190702	Tuesday	July	Jul	7	3	2019
20190703	Wednesday	July	Jul	7	3	2019
20190704	Thursday	July	Jul	7	3	2019
20190705	Friday	July	Jul	7	3	2019
20190706	Saturday	July	Jul	7	3	2019
20190707	Sunday	July	Jul	7	3	2019
20190708	Monday	July	Jul	7	3	2019
20190709	Tuesday	July	Jul	7	3	2019
20190710	Wednesday	July	Jul	7	3	2019
20190711	Thursday	July	Jul	7	3	2019
20190712	Friday	July	Jul	7	3	2019
20190713	Saturday	July	Jul	7	3	2019
20190714	Sunday	July	Jul	7	3	2019
20190715	Monday	July	Jul	7	3	2019
20190716	Tuesday	July	Jul	7	3	2019
20190717	Wednesday	July	Jul	7	3	2019
20190718	Thursday	July	Jul	7	3	2019
20190719	Friday	July	Jul	7	3	2019
20190720	Saturday	July	Jul	7	3	2019
20190721	Sunday	July	Jul	7	3	2019
20190722	Monday	July	Jul	7	3	2019
20190723	Tuesday	July	Jul	7	3	2019
20190724	Wednesday	July	Jul	7	3	2019
20190725	Thursday	July	Jul	7	3	2019
20190726	Friday	July	Jul	7	3	2019
20190727	Saturday	July	Jul	7	3	2019
20190728	Sunday	July	Jul	7	3	2019
20190729	Monday	July	Jul	7	3	2019
20190730	Tuesday	July	Jul	7	3	2019
20190731	Wednesday	July	Jul	7	3	2019
20190801	Thursday	August	Aug	8	3	2019
20190802	Friday	August	Aug	8	3	2019
20190803	Saturday	August	Aug	8	3	2019
20190804	Sunday	August	Aug	8	3	2019
20190805	Monday	August	Aug	8	3	2019
20190806	Tuesday	August	Aug	8	3	2019
20190807	Wednesday	August	Aug	8	3	2019
20190808	Thursday	August	Aug	8	3	2019
20190809	Friday	August	Aug	8	3	2019
20190810	Saturday	August	Aug	8	3	2019
20190811	Sunday	August	Aug	8	3	2019
20190812	Monday	August	Aug	8	3	2019
20190813	Tuesday	August	Aug	8	3	2019
20190814	Wednesday	August	Aug	8	3	2019
20190815	Thursday	August	Aug	8	3	2019
20190816	Friday	August	Aug	8	3	2019
20190817	Saturday	August	Aug	8	3	2019
20190818	Sunday	August	Aug	8	3	2019
20190819	Monday	August	Aug	8	3	2019
20190820	Tuesday	August	Aug	8	3	2019
20190821	Wednesday	August	Aug	8	3	2019
20190822	Thursday	August	Aug	8	3	2019
20190823	Friday	August	Aug	8	3	2019
20190824	Saturday	August	Aug	8	3	2019
20190825	Sunday	August	Aug	8	3	2019
20190826	Monday	August	Aug	8	3	2019
20190827	Tuesday	August	Aug	8	3	2019
20190828	Wednesday	August	Aug	8	3	2019
20190829	Thursday	August	Aug	8	3	2019
20190830	Friday	August	Aug	8	3	2019
20190831	Saturday	August	Aug	8	3	2019
20190901	Sunday	September	Sep	9	3	2019
20190902	Monday	September	Sep	9	3	2019
20190903	Tuesday	September	Sep	9	3	2019
20190904	Wednesday	September	Sep	9	3	2019
20190905	Thursday	September	Sep	9	3	2019
20190906	Friday	September	Sep	9	3	2019
20190907	Saturday	September	Sep	9	3	2019
20190908	Sunday	September	Sep	9	3	2019
20190909	Monday	September	Sep	9	3	2019
20190910	Tuesday	September	Sep	9	3	2019
20190911	Wednesday	September	Sep	9	3	2019
20190912	Thursday	September	Sep	9	3	2019
20190913	Friday	September	Sep	9	3	2019
20190914	Saturday	September	Sep	9	3	2019
20190915	Sunday	September	Sep	9	3	2019
20190916	Monday	September	Sep	9	3	2019
20190917	Tuesday	September	Sep	9	3	2019
20190918	Wednesday	September	Sep	9	3	2019
20190919	Thursday	September	Sep	9	3	2019
20190920	Friday	September	Sep	9	3	2019
20190921	Saturday	September	Sep	9	3	2019
20190922	Sunday	September	Sep	9	3	2019
20190923	Monday	September	Sep	9	3	2019
20190924	Tuesday	September	Sep	9	3	2019
20190925	Wednesday	September	Sep	9	3	2019
20190926	Thursday	September	Sep	9	3	2019
20190927	Friday	September	Sep	9	3	2019
20190928	Saturday	September	Sep	9	3	2019
20190929	Sunday	September	Sep	9	3	2019
20190930	Monday	September	Sep	9	3	2019
20191001	Tuesday	October	Oct	10	4	2019
20191002	Wednesday	October	Oct	10	4	2019
20191003	Thursday	October	Oct	10	4	2019
20191004	Friday	October	Oct	10	4	2019
20191005	Saturday	October	Oct	10	4	2019
20191006	Sunday	October	Oct	10	4	2019
20191007	Monday	October	Oct	10	4	2019
20191008	Tuesday	October	Oct	10	4	2019
20191009	Wednesday	October	Oct	10	4	2019
20191010	Thursday	October	Oct	10	4	2019
20191011	Friday	October	Oct	10	4	2019
20191012	Saturday	October	Oct	10	4	2019
20191013	Sunday	October	Oct	10	4	2019
20191014	Monday	October	Oct	10	4	2019
20191015	Tuesday	October	Oct	10	4	2019
20191016	Wednesday	October	Oct	10	4	2019
20191017	Thursday	October	Oct	10	4	2019
20191018	Friday	October	Oct	10	4	2019
20191019	Saturday	October	Oct	10	4	2019
20191020	Sunday	October	Oct	10	4	2019
20191021	Monday	October	Oct	10	4	2019
20191022	Tuesday	October	Oct	10	4	2019
20191023	Wednesday	October	Oct	10	4	2019
20191024	Thursday	October	Oct	10	4	2019
20191025	Friday	October	Oct	10	4	2019
20191026	Saturday	October	Oct	10	4	2019
20191027	Sunday	October	Oct	10	4	2019
20191028	Monday	October	Oct	10	4	2019
20191029	Tuesday	October	Oct	10	4	2019
20191030	Wednesday	October	Oct	10	4	2019
20191031	Thursday	October	Oct	10	4	2019
20191101	Friday	November	Nov	11	4	2019
20191102	Saturday	November	Nov	11	4	2019
20191103	Sunday	November	Nov	11	4	2019
20191104	Monday	November	Nov	11	4	2019
20191105	Tuesday	November	Nov	11	4	2019
20191106	Wednesday	November	Nov	11	4	2019
20191107	Thursday	November	Nov	11	4	2019
20191108	Friday	November	Nov	11	4	2019
20191109	Saturday	November	Nov	11	4	2019
20191110	Sunday	November	Nov	11	4	2019
20191111	Monday	November	Nov	11	4	2019
20191112	Tuesday	November	Nov	11	4	2019
20191113	Wednesday	November	Nov	11	4	2019
20191114	Thursday	November	Nov	11	4	2019
20191115	Friday	November	Nov	11	4	2019
20191116	Saturday	November	Nov	11	4	2019
20191117	Sunday	November	Nov	11	4	2019
20191118	Monday	November	Nov	11	4	2019
20191119	Tuesday	November	Nov	11	4	2019
20191120	Wednesday	November	Nov	11	4	2019
20191121	Thursday	November	Nov	11	4	2019
20191122	Friday	November	Nov	11	4	2019
20191123	Saturday	November	Nov	11	4	2019
20191124	Sunday	November	Nov	11	4	2019
20191125	Monday	November	Nov	11	4	2019
20191126	Tuesday	November	Nov	11	4	2019
20191127	Wednesday	November	Nov	11	4	2019
20191128	Thursday	November	Nov	11	4	2019
20191129	Friday	November	Nov	11	4	2019
20191130	Saturday	November	Nov	11	4	2019
20191201	Sunday	December	Dec	12	4	2019
20191202	Monday	December	Dec	12	4	2019
20191203	Tuesday	December	Dec	12	4	2019
20191204	Wednesday	December	Dec	12	4	2019
20191205	Thursday	December	Dec	12	4	2019
20191206	Friday	December	Dec	12	4	2019
20191207	Saturday	December	Dec	12	4	2019
20191208	Sunday	December	Dec	12	4	2019
20191209	Monday	December	Dec	12	4	2019
20191210	Tuesday	December	Dec	12	4	2019
20191211	Wednesday	December	Dec	12	4	2019
20191212	Thursday	December	Dec	12	4	2019
20191213	Friday	December	Dec	12	4	2019
20191214	Saturday	December	Dec	12	4	2019
20191215	Sunday	December	Dec	12	4	2019
20191216	Monday	December	Dec	12	4	2019
20191217	Tuesday	December	Dec	12	4	2019
20191218	Wednesday	December	Dec	12	4	2019
20191219	Thursday	December	Dec	12	4	2019
20191220	Friday	December	Dec	12	4	2019
20191221	Saturday	December	Dec	12	4	2019
20191222	Sunday	December	Dec	12	4	2019
20191223	Monday	December	Dec	12	4	2019
20191224	Tuesday	December	Dec	12	4	2019
20191225	Wednesday	December	Dec	12	4	2019
20191226	Thursday	December	Dec	12	4	2019
20191227	Friday	December	Dec	12	4	2019
20191228	Saturday	December	Dec	12	4	2019
20191229	Sunday	December	Dec	12	4	2019
20191230	Monday	December	Dec	12	4	2019
20191231	Tuesday	December	Dec	12	4	2019
20200101	Wednesday	January	Jan	1	1	2020
20200102	Thursday	January	Jan	1	1	2020
20200103	Friday	January	Jan	1	1	2020
20200104	Saturday	January	Jan	1	1	2020
20200105	Sunday	January	Jan	1	1	2020
20200106	Monday	January	Jan	1	1	2020
20200107	Tuesday	January	Jan	1	1	2020
20200108	Wednesday	January	Jan	1	1	2020
20200109	Thursday	January	Jan	1	1	2020
20200110	Friday	January	Jan	1	1	2020
20200111	Saturday	January	Jan	1	1	2020
20200112	Sunday	January	Jan	1	1	2020
20200113	Monday	January	Jan	1	1	2020
20200114	Tuesday	January	Jan	1	1	2020
20200115	Wednesday	January	Jan	1	1	2020
20200116	Thursday	January	Jan	1	1	2020
20200117	Friday	January	Jan	1	1	2020
20200118	Saturday	January	Jan	1	1	2020
20200119	Sunday	January	Jan	1	1	2020
20200120	Monday	January	Jan	1	1	2020
20200121	Tuesday	January	Jan	1	1	2020
20200122	Wednesday	January	Jan	1	1	2020
20200123	Thursday	January	Jan	1	1	2020
20200124	Friday	January	Jan	1	1	2020
20200125	Saturday	January	Jan	1	1	2020
20200126	Sunday	January	Jan	1	1	2020
20200127	Monday	January	Jan	1	1	2020
20200128	Tuesday	January	Jan	1	1	2020
20200129	Wednesday	January	Jan	1	1	2020
20200130	Thursday	January	Jan	1	1	2020
20200131	Friday	January	Jan	1	1	2020
20200201	Saturday	February	Feb	2	1	2020
20200202	Sunday	February	Feb	2	1	2020
20200203	Monday	February	Feb	2	1	2020
20200204	Tuesday	February	Feb	2	1	2020
20200205	Wednesday	February	Feb	2	1	2020
20200206	Thursday	February	Feb	2	1	2020
20200207	Friday	February	Feb	2	1	2020
20200208	Saturday	February	Feb	2	1	2020
20200209	Sunday	February	Feb	2	1	2020
20200210	Monday	February	Feb	2	1	2020
20200211	Tuesday	February	Feb	2	1	2020
20200212	Wednesday	February	Feb	2	1	2020
20200213	Thursday	February	Feb	2	1	2020
20200214	Friday	February	Feb	2	1	2020
20200215	Saturday	February	Feb	2	1	2020
20200216	Sunday	February	Feb	2	1	2020
20200217	Monday	February	Feb	2	1	2020
20200218	Tuesday	February	Feb	2	1	2020
20200219	Wednesday	February	Feb	2	1	2020
20200220	Thursday	February	Feb	2	1	2020
20200221	Friday	February	Feb	2	1	2020
20200222	Saturday	February	Feb	2	1	2020
20200223	Sunday	February	Feb	2	1	2020
20200224	Monday	February	Feb	2	1	2020
20200225	Tuesday	February	Feb	2	1	2020
20200226	Wednesday	February	Feb	2	1	2020
20200227	Thursday	February	Feb	2	1	2020
20200228	Friday	February	Feb	2	1	2020
20200229	Saturday	February	Feb	2	1	2020
20200301	Sunday	March	Mar	3	1	2020
20200302	Monday	March	Mar	3	1	2020
20200303	Tuesday	March	Mar	3	1	2020
20200304	Wednesday	March	Mar	3	1	2020
20200305	Thursday	March	Mar	3	1	2020
20200306	Friday	March	Mar	3	1	2020
20200307	Saturday	March	Mar	3	1	2020
20200308	Sunday	March	Mar	3	1	2020
20200309	Monday	March	Mar	3	1	2020
20200310	Tuesday	March	Mar	3	1	2020
20200311	Wednesday	March	Mar	3	1	2020
20200312	Thursday	March	Mar	3	1	2020
20200313	Friday	March	Mar	3	1	2020
20200314	Saturday	March	Mar	3	1	2020
20200315	Sunday	March	Mar	3	1	2020
20200316	Monday	March	Mar	3	1	2020
20200317	Tuesday	March	Mar	3	1	2020
20200318	Wednesday	March	Mar	3	1	2020
20200319	Thursday	March	Mar	3	1	2020
20200320	Friday	March	Mar	3	1	2020
20200321	Saturday	March	Mar	3	1	2020
20200322	Sunday	March	Mar	3	1	2020
20200323	Monday	March	Mar	3	1	2020
20200324	Tuesday	March	Mar	3	1	2020
20200325	Wednesday	March	Mar	3	1	2020
20200326	Thursday	March	Mar	3	1	2020
20200327	Friday	March	Mar	3	1	2020
20200328	Saturday	March	Mar	3	1	2020
20200329	Sunday	March	Mar	3	1	2020
20200330	Monday	March	Mar	3	1	2020
20200331	Tuesday	March	Mar	3	1	2020
20200401	Wednesday	April	Apr	4	2	2020
20200402	Thursday	April	Apr	4	2	2020
20200403	Friday	April	Apr	4	2	2020
20200404	Saturday	April	Apr	4	2	2020
20200405	Sunday	April	Apr	4	2	2020
20200406	Monday	April	Apr	4	2	2020
20200407	Tuesday	April	Apr	4	2	2020
20200408	Wednesday	April	Apr	4	2	2020
20200409	Thursday	April	Apr	4	2	2020
20200410	Friday	April	Apr	4	2	2020
20200411	Saturday	April	Apr	4	2	2020
20200412	Sunday	April	Apr	4	2	2020
20200413	Monday	April	Apr	4	2	2020
20200414	Tuesday	April	Apr	4	2	2020
20200415	Wednesday	April	Apr	4	2	2020
20200416	Thursday	April	Apr	4	2	2020
20200417	Friday	April	Apr	4	2	2020
20200418	Saturday	April	Apr	4	2	2020
20200419	Sunday	April	Apr	4	2	2020
20200420	Monday	April	Apr	4	2	2020
20200421	Tuesday	April	Apr	4	2	2020
20200422	Wednesday	April	Apr	4	2	2020
20200423	Thursday	April	Apr	4	2	2020
20200424	Friday	April	Apr	4	2	2020
20200425	Saturday	April	Apr	4	2	2020
20200426	Sunday	April	Apr	4	2	2020
20200427	Monday	April	Apr	4	2	2020
20200428	Tuesday	April	Apr	4	2	2020
20200429	Wednesday	April	Apr	4	2	2020
20200430	Thursday	April	Apr	4	2	2020
20200501	Friday	May	May	5	2	2020
20200502	Saturday	May	May	5	2	2020
20200503	Sunday	May	May	5	2	2020
20200504	Monday	May	May	5	2	2020
20200505	Tuesday	May	May	5	2	2020
20200506	Wednesday	May	May	5	2	2020
20200507	Thursday	May	May	5	2	2020
20200508	Friday	May	May	5	2	2020
20200509	Saturday	May	May	5	2	2020
20200510	Sunday	May	May	5	2	2020
20200511	Monday	May	May	5	2	2020
20200512	Tuesday	May	May	5	2	2020
20200513	Wednesday	May	May	5	2	2020
20200514	Thursday	May	May	5	2	2020
20200515	Friday	May	May	5	2	2020
20200516	Saturday	May	May	5	2	2020
20200517	Sunday	May	May	5	2	2020
20200518	Monday	May	May	5	2	2020
20200519	Tuesday	May	May	5	2	2020
20200520	Wednesday	May	May	5	2	2020
20200521	Thursday	May	May	5	2	2020
20200522	Friday	May	May	5	2	2020
20200523	Saturday	May	May	5	2	2020
20200524	Sunday	May	May	5	2	2020
20200525	Monday	May	May	5	2	2020
20200526	Tuesday	May	May	5	2	2020
20200527	Wednesday	May	May	5	2	2020
20200528	Thursday	May	May	5	2	2020
20200529	Friday	May	May	5	2	2020
20200530	Saturday	May	May	5	2	2020
20200531	Sunday	May	May	5	2	2020
20200601	Monday	June	Jun	6	2	2020
20200602	Tuesday	June	Jun	6	2	2020
20200603	Wednesday	June	Jun	6	2	2020
20200604	Thursday	June	Jun	6	2	2020
20200605	Friday	June	Jun	6	2	2020
20200606	Saturday	June	Jun	6	2	2020
20200607	Sunday	June	Jun	6	2	2020
20200608	Monday	June	Jun	6	2	2020
20200609	Tuesday	June	Jun	6	2	2020
20200610	Wednesday	June	Jun	6	2	2020
20200611	Thursday	June	Jun	6	2	2020
20200612	Friday	June	Jun	6	2	2020
20200613	Saturday	June	Jun	6	2	2020
20200614	Sunday	June	Jun	6	2	2020
20200615	Monday	June	Jun	6	2	2020
20200616	Tuesday	June	Jun	6	2	2020
20200617	Wednesday	June	Jun	6	2	2020
20200618	Thursday	June	Jun	6	2	2020
20200619	Friday	June	Jun	6	2	2020
20200620	Saturday	June	Jun	6	2	2020
20200621	Sunday	June	Jun	6	2	2020
20200622	Monday	June	Jun	6	2	2020
20200623	Tuesday	June	Jun	6	2	2020
20200624	Wednesday	June	Jun	6	2	2020
20200625	Thursday	June	Jun	6	2	2020
20200626	Friday	June	Jun	6	2	2020
20200627	Saturday	June	Jun	6	2	2020
20200628	Sunday	June	Jun	6	2	2020
20200629	Monday	June	Jun	6	2	2020
20200630	Tuesday	June	Jun	6	2	2020
20200701	Wednesday	July	Jul	7	3	2020
20200702	Thursday	July	Jul	7	3	2020
20200703	Friday	July	Jul	7	3	2020
20200704	Saturday	July	Jul	7	3	2020
20200705	Sunday	July	Jul	7	3	2020
20200706	Monday	July	Jul	7	3	2020
20200707	Tuesday	July	Jul	7	3	2020
20200708	Wednesday	July	Jul	7	3	2020
20200709	Thursday	July	Jul	7	3	2020
20200710	Friday	July	Jul	7	3	2020
20200711	Saturday	July	Jul	7	3	2020
20200712	Sunday	July	Jul	7	3	2020
20200713	Monday	July	Jul	7	3	2020
20200714	Tuesday	July	Jul	7	3	2020
20200715	Wednesday	July	Jul	7	3	2020
20200716	Thursday	July	Jul	7	3	2020
20200717	Friday	July	Jul	7	3	2020
20200718	Saturday	July	Jul	7	3	2020
20200719	Sunday	July	Jul	7	3	2020
20200720	Monday	July	Jul	7	3	2020
20200721	Tuesday	July	Jul	7	3	2020
20200722	Wednesday	July	Jul	7	3	2020
20200723	Thursday	July	Jul	7	3	2020
20200724	Friday	July	Jul	7	3	2020
20200725	Saturday	July	Jul	7	3	2020
20200726	Sunday	July	Jul	7	3	2020
20200727	Monday	July	Jul	7	3	2020
20200728	Tuesday	July	Jul	7	3	2020
20200729	Wednesday	July	Jul	7	3	2020
20200730	Thursday	July	Jul	7	3	2020
20200731	Friday	July	Jul	7	3	2020
20200801	Saturday	August	Aug	8	3	2020
20200802	Sunday	August	Aug	8	3	2020
20200803	Monday	August	Aug	8	3	2020
20200804	Tuesday	August	Aug	8	3	2020
20200805	Wednesday	August	Aug	8	3	2020
20200806	Thursday	August	Aug	8	3	2020
20200807	Friday	August	Aug	8	3	2020
20200808	Saturday	August	Aug	8	3	2020
20200809	Sunday	August	Aug	8	3	2020
20200810	Monday	August	Aug	8	3	2020
20200811	Tuesday	August	Aug	8	3	2020
20200812	Wednesday	August	Aug	8	3	2020
20200813	Thursday	August	Aug	8	3	2020
20200814	Friday	August	Aug	8	3	2020
20200815	Saturday	August	Aug	8	3	2020
20200816	Sunday	August	Aug	8	3	2020
20200817	Monday	August	Aug	8	3	2020
20200818	Tuesday	August	Aug	8	3	2020
20200819	Wednesday	August	Aug	8	3	2020
20200820	Thursday	August	Aug	8	3	2020
20200821	Friday	August	Aug	8	3	2020
20200822	Saturday	August	Aug	8	3	2020
20200823	Sunday	August	Aug	8	3	2020
20200824	Monday	August	Aug	8	3	2020
20200825	Tuesday	August	Aug	8	3	2020
20200826	Wednesday	August	Aug	8	3	2020
20200827	Thursday	August	Aug	8	3	2020
20200828	Friday	August	Aug	8	3	2020
20200829	Saturday	August	Aug	8	3	2020
20200830	Sunday	August	Aug	8	3	2020
20200831	Monday	August	Aug	8	3	2020
20200901	Tuesday	September	Sep	9	3	2020
20200902	Wednesday	September	Sep	9	3	2020
20200903	Thursday	September	Sep	9	3	2020
20200904	Friday	September	Sep	9	3	2020
20200905	Saturday	September	Sep	9	3	2020
20200906	Sunday	September	Sep	9	3	2020
20200907	Monday	September	Sep	9	3	2020
20200908	Tuesday	September	Sep	9	3	2020
20200909	Wednesday	September	Sep	9	3	2020
20200910	Thursday	September	Sep	9	3	2020
20200911	Friday	September	Sep	9	3	2020
20200912	Saturday	September	Sep	9	3	2020
20200913	Sunday	September	Sep	9	3	2020
20200914	Monday	September	Sep	9	3	2020
20200915	Tuesday	September	Sep	9	3	2020
20200916	Wednesday	September	Sep	9	3	2020
20200917	Thursday	September	Sep	9	3	2020
20200918	Friday	September	Sep	9	3	2020
20200919	Saturday	September	Sep	9	3	2020
20200920	Sunday	September	Sep	9	3	2020
20200921	Monday	September	Sep	9	3	2020
20200922	Tuesday	September	Sep	9	3	2020
20200923	Wednesday	September	Sep	9	3	2020
20200924	Thursday	September	Sep	9	3	2020
20200925	Friday	September	Sep	9	3	2020
20200926	Saturday	September	Sep	9	3	2020
20200927	Sunday	September	Sep	9	3	2020
20200928	Monday	September	Sep	9	3	2020
20200929	Tuesday	September	Sep	9	3	2020
